#
# General information about english verbs
#   https://en.oxforddictionaries.com/spelling/verb-tenses-adding-ed-and-ing
#

#
# Word ending to "A"
#  -ed
#  -s
#  -ing
#
misread 1 7 misleads misleading
misreads 1 9 misread
misreading 3 10 misread

misunderstand 1 1 misunderstood misunderstands misunderstanding
misunderstood 1 6 misunderstand
misunderstands 1 9 misunderstand
misunderstanding 3 10 misunderstand

mud 1 1 mudded muds mudding
mudded 1 6 mud
muds 1 9 mud
mudding 3 10 mud

nod 1 1 nodded nods nodding
nodded 1 6 nod
nods 1 9 nod
nodding 3 10 nod

outbid 1 7 outbids outbidding
outbids 1 9 outbid
outbidding 3 10 outbid

overbid 1 7 overbids overbidding
overbids 1 9 overbid
overbidding 3 10 overbid

overfeed 1 1 overfed overfeeds overfeeding
overfed 1 6 overfeed
overfeeds 1 9 overfeed
overfeeding 3 10 overfeed

overspend 1 1 overspent overspends overspending
overspent 1 6 overspend
overspends 1 9 overspend
overspending 3 10 overspending

pad 1 1 padded pads padding
padded 1 6 pad
pads 1 9 pad
padding 3 10 pad

plead 1 1 pled pleads pleading
pled 1 6 plead
pleads 1 9 plead
pleading 3 10 plead

pod 1 1 podded pods podding
podded 1 6 pod
pods 1 9 pod
podding 3 10 pod

prod 1 1 prodded prods prodding
prodded 1 6 prod
prods 1 9 prod
prodding 3 10 prod

proofread 1 7 proofreads proofreading
proofreads 1 9 proofread
proofreading 3 10 proofread

rebuild 1 1 rebuilt rebuilds rebuilding
rebuilt 1 6 rebuild
rebuilds 1 9 rebuild
rebuilding 3 10 rebuild

rid 1 1 ridded rids ridding
ridded 1 6 rid
rids 1 9 rid
ridding 3 10 rid

scud 1 1 scudded scuds scudding
scudded 1 6 scud
scuds 1 9 scud
scudding 3 10 scud

shred 1 1 shredded shreds shredding
shredded 1 6 shred
shreds 1 9 shred
shredding 3 10 shred

skid 1 1 skidded skids skidding
skidded 1 6 skid
skids 1 9 skid
skidding 3 10 skid

sled 1 1 sledded sleds sledding
sledded 1 6 sled
sleds 1 9 sled
sledding 3 10 sled

sod 1 1 sodded sods sodding
sodded 1 6 sod
sods 1 9 sod
sodding 3 10 sod

speed 1 1 sped speeds speeding
sped 1 6 speed
speeds 1 9 speed
speeding 3 10 speed

spellbind 1 1 spellbound spellbinds spellbinding
spellbound 1 6 spellbind
spellbinds 1 9 spellbind
spellbinding 3 10 spellbind

spoonfeed 1 1 spoonfed spoonfeeds spoonfeeding
spoonfed 1 6 spoonfeed
spoonfeeds 1 9 spoonfeed
spoonfeeding 3 10 spoonfeed

stud 1 1 studded studs studding
studded 1 6 stud
studs 1 9 stud
studding 3 10 stud

thud 1 1 thudded thuds thudding
thudded 1 6 thud
thuds 1 9 thud
thudding 3 10 thud

tread 1 2 trod tread trodden treaded treads treading
trod 1 2 tread
trodden 1 4 tread
treaded 1 6 tread
treads 1 9 tread
treading 3 10 tread

unbend 1 1 unbent unbends unbending
unbent 1 6 unbend
unbends 1 9 unbend
unbending 3 10 unbend

unbind 1 1 unbound unbinds unbinding
unbound 1 6 unbind
unbinds 1 9 unbind
unbinding 3 10 unbind

underbid 1 7 underbids underbidding
underbids 1 9 underbid
underbidding 3 10 underbid

underspend 1 1 underspent underspends underspending
underspent 1 6 underspend
underspends 1 9 underspend
underspending 3 10 underspend

unwind 1 1 unwound unwounds unwinding
unwound 1 6 unwind
unwounds 1 9 unwind
unwinding 3 10 unwind

uphold 1 1 upheld upholds upholding
upheld 1 6 uphold
upholds 1 9 uphold
upholding 3 10 uphold

wad 1 1 wadded wads wadding
wadded 1 6 wad
wads 1 9 wad
wadding 3 10 wad

wed 1 7 weds wedding
weds 1 9 wed
wedding 3 10 wed

withhold 1 1 withheld withholds withholding
withheld 1 6 withhold
withholds 1 9 withhold
withholding 3 10 withhold

withstand 1 1 withstood withstands withstanding
withstood 1 6 withstand
withstands 1 9 withstand
withstanding 3 10 withstand

bend 1 1 bent bends bending
bent 1 6 bend
bends 1 9 bend
bending 3 10 bend

bind 1 1 bound binds binding
bound 1 6 bind
binds 1 9 bind
binding 3 10 bind

bleed 1 1 bled bleeds bleeding
bled 1 6 bleed
bleeds 1 9 bleed
bleeding 3 10 bleed

breed 1 1 bred breeds breeding
bred 1 6 breed
breeds 1 9 breed
breeding 3 10 breed

build 1 1 built builds building
built 1 6 build
builds 1 9 build
building 3 10 build

feed 1 1 fed feeds feeding
fed 1 6 feed
