#
# Word ending to "F"
#  -ed
#  -s
#  -ing
#

squawk 1 1
stack 1 1
stalk 1 1
stock 1 1
streak 1 1
streetwalk 1 1
suck 1 1
sulk 1 1
tack 1 1
talk 1 1
tank 1 1
task 1 1
thumbtack 1 1
thwack 1 1
tick 1 1
ticktock 1 1
tomahawk 1 1
track 1 1
trick 1 1
truck 1 1
tuck 1 1
tusk 1 1
tweak 1 1
unblock 1 1
uncork 1 1
understock 1 1
undock 1 1
unhook 1 1
unlock 1 1
unmask 1 1
unpack 1 1
walk 1 1
wank 1 1
whack 1 1
whelk 1 1
whisk 1 1
wink 1 1
wisecrack 1 1
work 1 1
wrack 1 1
wreck 1 1
wrick 1 1
yack 1 1
yank 1 1

# Nonconformant verbs

blink 1 1 blinks blinked blunk blinking
blinks 1 9 blink
blinked 1 6 blink
blunk 1 6 blink
blinking 3 10 blink

break 1 1 breaks broke broken breaking
breaks 1 9 break
broke 1 2 break
broken 1 4 break
breaking 3 10 break

countersink 1 1 countersinks countersank countersunk countersinking
countersinks 1 9 countersink
countersank 1 2 countersink
countersunk 1 4 countersink
countersinking 3 10 countersink

drink 1 1 drinks drank drunk drinked drinking
drinks 1 9 drink
drank 1 6 drink
drunk 1 6 drink
drinked 1 6 drink
drinking 3 10 drink

fuck 1 1 fucks fucked fucking fuckin fucken
fucks 1 9 fuck
fucked 1 6 fuck
fucking 3 10 fuck
fuckin 3 10 fuck
fucken 3 10 fuck

overwork 1 1 overworks overworked overwrought overworking
overworks 1 9 overwork
overworked 1 6 overwork
overwrought 1 6 overwork
overworking 3 10 overwork

reek 1 1 reeks reeked reeking reekin
reeks 1 9 reek
reeked 1 6 reek
reeking 3 10 reek
reekin 3 10 reek

rethink 1 1 rethinks rethought rethinking
rethinks 1 9 rethink
rethought 1 6 rethink
rethinking 3 10 rethink

sack 1 1 sacks sacked sackt sacking
sacks 1 9 sack
sacked 1 6 sack
sackt 1 6 sack
sacking 3 10 sack

seek 1 1 seeks sought seeking
seeks 1 9 seek
sought 1 6 seek
